areaCode,areaName,areaType,date,cumCasesByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,cumReinfectionsBySpecimenDateRate,cumTestsByPublishDate,cumVirusTestsByPublishDate
K02000001,United Kingdom,overview,2022-06-05,,53505425,,,
K02000001,United Kingdom,overview,2022-06-04,,53502797,,,
K02000001,United Kingdom,overview,2022-06-03,,53497176,,,
K02000001,United Kingdom,overview,2022-06-02,,53496143,,,
K02000001,United Kingdom,overview,2022-06-01,,53493877,,,
K02000001,United Kingdom,overview,2022-05-31,,53486907,,,
K02000001,United Kingdom,overview,2022-05-30,,53479257,,,
K02000001,United Kingdom,overview,2022-05-29,,53472488,,,
K02000001,United Kingdom,overview,2022-05-28,,53466470,,,
K02000001,United Kingdom,overview,2022-05-27,,53453902,,,
K02000001,United Kingdom,overview,2022-05-26,,53448710,,,
K02000001,United Kingdom,overview,2022-05-25,,53445102,,,
K02000001,United Kingdom,overview,2022-05-24,,53444716,,,
K02000001,United Kingdom,overview,2022-05-23,,53439970,,,
K02000001,United Kingdom,overview,2022-05-22,,53436647,,,
K02000001,United Kingdom,overview,2022-05-21,,53430128,,,
K02000001,United Kingdom,overview,2022-05-20,22238713,53413952,,,
K02000001,United Kingdom,overview,2022-05-19,22232377,53407449,1772.0,523004361,514605757
K02000001,United Kingdom,overview,2022-05-18,22220178,53398518,1770.2,522745542,514348647
K02000001,United Kingdom,overview,2022-05-17,22212395,53393153,1768.3,522511312,514116031
K02000001,United Kingdom,overview,2022-05-16,22203799,53387722,1766.2,522056356,513661886
K02000001,United Kingdom,overview,2022-05-15,22181462,53382948,1763.7,521749017,513355388
K02000001,United Kingdom,overview,2022-05-14,22181289,53372858,1761.8,521578327,513185360
K02000001,United Kingdom,overview,2022-05-13,22180207,53352396,1760.4,521412322,513019535
K02000001,United Kingdom,overview,2022-05-12,22173620,53344883,1758.8,521112763,512720955
K02000001,United Kingdom,overview,2022-05-11,22158820,53337395,1757.1,520833251,512442707
K02000001,United Kingdom,overview,2022-05-10,22150700,53330594,1754.9,520577785,512189858
K02000001,United Kingdom,overview,2022-05-09,22140287,53323370,1752.5,520260387,511874306
K02000001,United Kingdom,overview,2022-05-08,22114034,53317460,1749.9,519931477,511546063
K02000001,United Kingdom,overview,2022-05-07,22114034,53306798,1747.7,519743495,511358241
K02000001,United Kingdom,overview,2022-05-06,22114034,53282338,1746.1,519555322,511170340
K02000001,United Kingdom,overview,2022-05-05,22102983,53272750,1744.1,519277040,510893691
K02000001,United Kingdom,overview,2022-05-04,22090523,53264512,1741.7,518965114,510584503
K02000001,United Kingdom,overview,2022-05-03,22073858,53255432,1739.0,518665511,510287211
K02000001,United Kingdom,overview,2022-05-02,22038340,53247845,1735.8,518308135,509952985
K02000001,United Kingdom,overview,2022-05-01,22038340,53242209,1733.0,518051364,509696350
K02000001,United Kingdom,overview,2022-04-30,22038340,53230188,1731.2,517854849,509500003
K02000001,United Kingdom,overview,2022-04-29,22038340,53202723,1729.5,517650339,509296743
K02000001,United Kingdom,overview,2022-04-28,22025925,53191232,1727.4,517353077,509001604
K02000001,United Kingdom,overview,2022-04-27,22011920,53180153,1724.9,516995770,508646990
K02000001,United Kingdom,overview,2022-04-26,21994809,53170544,1722.1,516665927,508320214
K02000001,United Kingdom,overview,2022-04-25,21978198,53161003,1718.9,516258347,507971884
K02000001,United Kingdom,overview,2022-04-24,21933206,53152044,1715.0,515850154,507567827
K02000001,United Kingdom,overview,2022-04-23,21933206,53136420,1712.0,515605142,507322979
K02000001,United Kingdom,overview,2022-04-22,21933206,53104502,1709.6,515354593,507072685
